num_total_tokens,num_green_tokens,num_tokens_scored,green_fraction,z_score
781,405,611,0.662847790507365,8.050678270924212
219,60,102,0.5882352941176471,1.7822655773580138
82,39,69,0.5652173913043478,1.0834726777719228
284,88,156,0.5641025641025641,1.6012815380508714
101,52,94,0.5531914893617021,1.0314212462587933
108,35,75,0.4666666666666667,-0.5773502691896257
47,11,29,0.3793103448275862,-1.299867367239363
65,31,54,0.5740740740740741,1.0886621079036347
26,12,20,0.6,0.8944271909999159
155,56,87,0.6436781609195402,2.680281337094487
106,45,76,0.5921052631578947,1.6059101370939322
130,52,96,0.5416666666666666,0.8164965809277261
102,39,59,0.6610169491525424,2.4735893086356535
140,52,85,0.611764705882353,2.060839349277234
2266,1325,1876,0.7062899786780383,17.869999636082913
203,96,139,0.6906474820143885,4.4954013273038465
76,26,51,0.5098039215686274,0.14002800840280097
71,33,55,0.6,1.4832396974191326
893,375,599,0.6260434056761269,6.169692740663049
168,55,108,0.5092592592592593,0.19245008972987526
222,136,210,0.6476190476190476,4.278406467922596
40,19,34,0.5588235294117647,0.6859943405700353
94,37,72,0.5138888888888888,0.23570226039551587
98,32,66,0.48484848484848486,-0.24618298195866545
155,45,81,0.5555555555555556,1.0
176,70,137,0.5109489051094891,0.25630729731502827
189,119,175,0.68,4.762352359916263
97,42,81,0.5185185185185185,0.3333333333333333
376,80,151,0.5298013245033113,0.7324096128940435
241,138,228,0.6052631578947368,3.178877656956105
2415,1118,1641,0.6812918951858623,14.688000383686546
25,10,21,0.47619047619047616,-0.2182178902359924
84,35,60,0.5833333333333334,1.2909944487358056
2613,1423,1942,0.7327497425334707,20.51369139137359
167,58,104,0.5576923076923077,1.1766968108291043
19,10,18,0.5555555555555556,0.47140452079103173
1690,876,1283,0.6827747466874513,13.093613420016236
96,28,58,0.4827586206896552,-0.2626128657194451
45,20,33,0.6060606060606061,1.2185435916898848
111,41,72,0.5694444444444444,1.1785113019775793
121,33,51,0.6470588235294118,2.100420126042015
107,29,61,0.47540983606557374,-0.3841106397986879
27,15,23,0.6521739130434783,1.4596008983995234
717,457,623,0.7335473515248796,11.658668817128307
39,12,27,0.4444444444444444,-0.5773502691896257
103,51,82,0.6219512195121951,2.208630521496931
84,26,54,0.48148148148148145,-0.2721655269759087
479,178,292,0.6095890410958904,3.745316710276178
100,41,76,0.5394736842105263,0.6882472016116852
264,63,109,0.5779816513761468,1.6283046848759573
247,69,109,0.6330275229357798,2.777696227141339
150,61,103,0.5922330097087378,1.872125628512157
141,52,88,0.5909090909090909,1.7056057308448833
156,71,133,0.5338345864661654,0.780398972571708
143,32,81,0.3950617283950617,-1.8888888888888888
189,98,178,0.550561797752809,1.3491570401925506
518,289,426,0.6784037558685446,7.36442406329494
155,52,83,0.6265060240963856,2.3050494597834974
40,21,33,0.6363636363636364,1.5666989036012806
57,24,40,0.6,1.2649110640673518
165,60,112,0.5357142857142857,0.7559289460184544
4283,2629,3479,0.7556769186547858,30.16120814181236
158,77,130,0.5923076923076923,2.1049392463368704
1175,569,797,0.7139272271016311,12.078839715937637
76,39,55,0.7090909090909091,3.1013193673309134
437,196,333,0.5885885885885885,3.2331800836720266
560,223,394,0.565989847715736,2.6197221536713675
280,157,265,0.5924528301886792,3.010046072486361
263,132,226,0.584070796460177,2.5277223999034093
19,7,15,0.4666666666666667,-0.2581988897471611
2036,967,1402,0.6897289586305279,14.208153010961052
1425,804,1180,0.6813559322033899,12.459561708427055
127,63,111,0.5675675675675675,1.4237369936287485
3717,2265,3155,0.7179080824088748,24.47952668301423
2984,1853,2587,0.716273676072671,22.000465609860118
316,131,229,0.5720524017467249,2.1807013815017964
1532,772,1133,0.6813768755516328,12.2103149715084
584,247,399,0.6190476190476191,4.7559486560567095
153,86,150,0.5733333333333334,1.7962924780409972
2264,1349,1839,0.7335508428493747,20.030984699091196
55,29,45,0.6444444444444445,1.9379255804998177
0,0,0,0.0,0.0
122,35,56,0.625,1.8708286933869707
72,25,55,0.45454545454545453,-0.674199862463242
3634,2008,2842,0.7065446868402533,22.021964596759183
105,39,63,0.6190476190476191,1.889822365046136
8,5,7,0.7142857142857143,1.1338934190276817
314,88,147,0.5986394557823129,2.3918796866427354
129,48,82,0.5853658536585366,1.5460413650478515
46,12,29,0.41379310344827586,-0.9284766908852594
157,97,152,0.6381578947368421,3.4066498437460138
245,142,228,0.6228070175438597,3.7086905997821225
1724,968,1380,0.7014492753623188,14.967016877217002
1976,1110,1586,0.699873896595208,15.919802162172864
80,18,47,0.3829787234042553,-1.6045149064768403
124,58,94,0.6170212765957447,2.2691267417693455
5158,3472,4535,0.7656008820286659,35.77240625977113
110,36,62,0.5806451612903226,1.270001270001905
